dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
12185,Sosen,50VH-E54F,182,6972715531824,"101,102,150,207,250,251,252,253"
12186,Sosen,75VH-E54F,183,6972715531831,"101,102,150,207,250,251,252,253"
12187,Sosen,100VH-E54F,184,6972715531848,"101,102,150,207,250,251,252,253"
12189,Sosen,150VH-E56F,185,6972715531855,"101,102,150,207,250,251,252,253"
12190,Sosen,200VH-E56F,186,6972715531862,"101,102,150,207,250,251,252,253"
12191,Sosen,240VH-E56F,187,6972715531879,"101,102,150,207,250,251,252,253"
12223,Sosen,320VH-E56F,206,6972715532067,"101,102,150,207,250,251,252,253"
12277,unex lighting AG,185-216-65,185-216-65,7649995231421,"101,102,202"
12279,SGN,S-128-C15W100-700 DALI DT8 NFC,S-128-C15W100-700 DALI DT8 NFC,6976120591107,"101,102,105,207,209,251,252,253"
12280,SGN,S-280-C50W300-1050 DALI DT8 NFC,S-280-C50W300-1050 DALI DT8 NFC,6976120591053,"101,102,105,207,209,251,252,253"
12281,SGN,S-360-C75W900-1800 DALI DT8 NFC,S-360-C75W900-1800 DALI DT8 NFC,6976120591046,"101,102,105,207,209,251,252,253"
12267,Lutron,Energi Savr Node DALI Universal,QSN2-2DALUNV-S,0784276339681,"101,103"
12287,BOKE,BK-DPL036S-AHC0900ADP,6971571383899,6971571383899,"101,102,207,251,252,253"
12288,BOKE,BK-DPL036S-AHC0900ADN,6971571383905,6971571383905,"101,102,207,251,252,253"
12278,Feller,DALI-2 Power Rotary Encoder MM,40095.DALI.D2,7613175104362,"101,103,301,302"
12293,Schneider Electric,SpaceLogic KNX DALI Gateway Broadcast Extension,MTN6825-0005,3606487200246,"101,103"
12263,Newlab,DALI-2-FORREST,L865MA00S1A01,8057190900865,"101,102,207"
12188,Sosen,120PA-H240F,197,6972715531978,"101,102,150,207,250,251,252,253"
12224,Sosen,165PA-H330F,199,6972715531992,"101,102,150,207,250,251,252,253"
12292,QLT,DASE2MSM,A40DASE2MSMB,8052705520569,"101,103,303,304"
12269,CDN LIGHT,CEC0100-12SH-DL2,6925499967495,6925499967495,"101,102,207,209"
12270,CDN LIGHT,CEC0150-12SH-DL2,6925499967501,6925499967501,"101,102,207,209"
12272,CDN LIGHT,CEC0280-12SH-DL2,6925499967525,6925499967525,"101,102,207,209"
12282,Seatronic,VADIS 4W,VD04,6977632280039,"101,102,202"
12070,Cooper Lighting Solutions,WaveLinx DALI-2 Occupancy Ceiling Sensor,OCS-D2,080083457700,"101,103,303,304"
12273,Dalcnet,CBU-MASTER-DALI-ZG,CBU-MASTER-DALI-ZG,8051597050147,"101,103,351"
12119,Inventronics,OT DX 40/170-240/1A05 NFC E G2,6937186179029,6937186179029,"101,102,150,207,250,251,252,253"
12265,LITEON,RE-1500-I70E,RE-1500-I70E,4718390441186,"101,102,207"
12266,LITEON,RE-1400-I9A0,RE-1400-I9A0,4718390441179,"101,102,207"
12274,QLT,DAPUSH2,A40DAPUSH20N,8052705520583,"101,103"
12231,MeanFull Power Technology C...,MIHD2037YB-C09301,0907,6977286840405,"101,102,207,251,252,253"
12268,"Rayrun Technology Co., Ltd",TDC25DL-B/E,6978074070196,6978074070196,"101,102,207,209"
12261,Normagrup,GE_EH_E_1NP,GE_EH_E_1NP,8435745042688,"101,102,202"
12252,Ax,OS-367-DA,OS-367-DA,0718879805380,"101,103,303,304,332"
12232,"Delta Electronics, Inc.",EUCO-1K8200GCB,EUCO-1K8200GCB,4718018503234,"101,102,150,207,250,251,252,253"
12233,"Delta Electronics, Inc.",EUCO-1K2200GCB,EUCO-1K2200GCB,4718018503227,"101,102,150,207,250,251,252,253"
12264,Inventronics,OT DX 15/170-240/1A05 NFC E G2,6937186179005,6937186179005,"101,102,150,207,250,251,252,253"
12253,LiFud,LF-H8-120U300D,00789091934608,00789091934608,"101,102,207,250,251,252,253"
12254,LiFud,LF-H8-120U300DWT,00789091934578,00789091934578,"101,102,207,250,251,252,253"
12255,LiFud,LF-H8-150U300D,00789091934615,00789091934615,"101,102,207,250,251,252,253"
12256,LiFud,LF-H8-150U300DWT,00789091934585,00789091934585,"101,102,207,250,251,252,253"
12257,LiFud,LF-H8-200U300D,00789091934622,00789091934622,"101,102,207,250,251,252,253"
12258,LiFud,LF-H8-200U300DWT,00789091934561,00789091934561,"101,102,207,250,251,252,253"
12259,LiFud,LF-H8-240U300D,00789091934639,00789091934639,"101,102,207,250,251,252,253"
12260,LiFud,LF-H8-240U300DWT,00789091934592,00789091934592,"101,102,207,250,251,252,253"
12211,EUCHIPS,LCP40AD-1H24VN,LCP40AD-1H24VN,6971945902350,"101,102,207"
12213,EUCHIPS,MUP96D4-1W24VN-BW,MUP96D4-1W24VN-BW,6971945901957,"101,102,207,250,251,252,253"
12215,EUCHIPS,MUP96D4-2W24VN-BW,MUP96D4-2W24VN-BW,6971945901940,"101,102,207,209,250,251,252,253"
12250,EUCHIPS,LCP24AD-1H24V,LCP24AD-1H24V,6971945901254,"101,102,207"
12222,LOYTEC electronics GmbH,LOY-DALI-TOUCH1,LOY-DALI-TOUCH1,4718018507089,"101,103,301,332"
12228,Inventronics,DALI-2 PANEL FM 4B PWC 36X1 INVENTRONICS,AM50742,6977078991193,"101,103,301,332"
12229,Inventronics,DALI-2 PANEL FM 6B PWC 36X1 INVENTRONICS,AM50743,6977078991346,"101,103,301,332"
12243,BOKE,BK-DBPS02-AHC0100,6971571385374,6971571385374,101
12234,Kegu,RC10W100-500 DALI NFC,6972677892117,6972677892117,"101,102,207,251,252,253"
12244,Snappy,SDS15-700IL 15W 700mA,SDS15-700IL,6972383240776,"101,102,207"
12207,IR-TEC International Ltd.,MRA-124S DALI-2 Mini Occupancy & Light Sensor,MRA-124S,4711498310057,"101,103,303,304"
12208,IR-TEC International Ltd.,MRA-124W DALI-2 Mini Occupancy & Light Sensor,MRA-124W,4711498310064,"101,103,303,304"
12236,SGN,DRI.2028A1,DRI.2028A1,03666196087415,"101,102,207,251,252,253"
